_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
11,Transit,Transportation,Aurora,Aurora GO Station,Complete,To Be Determined,Existing station on the Barrie Line,,York,Central,,,Barrie GO Line,0,,,,,,44.000748,-79.45972
12,Transit,Transportation,Aurora,Bloomington GO Station,Complete,December 2020,GO Expansion - Early Works,"The station will be fully accessible, and will include a 765-space parking structure (with an additional 253-space surface lot), charging for electric vehicles, heated shelters, a platform snowmelt system, a Kiss & Ride area, and a covered six-bay bus loop.",York,Central,Bloomington Rd / Highway 404,,Richmond Hill GO Line,"$82,400,000",,Yes,,,https://www.metrolinx.com/en/greaterregion/projects/bloomington-go.aspx,43.975784,-79.397355
13,Transit,Transportation,Bancroft,New Public Transit Vehicles,Planning,2024,Purchase three specialized transit fleet vehicles.,"Improved capacity, quality, and accessibility for public transit users.",Hastings,East,,,,"$210,768",Yes,Yes,Yes,,,45.058937,-77.85888
14,Transit,Transportation,Barrie,Allandale Waterfront GO Station,Complete,June 2015,Existing station on the Barrie Line,,Simcoe,Central,,,Barrie GO Line,0,,,,,,44.373397,-79.685982
15,Transit,Transportation,Barrie,Barrie South GO Station,Complete,To Be Determined,Existing station on the Barrie Line,,Simcoe,Central,,,Barrie GO Line,0,,,,,,44.351306,-79.626121
16,Transit,Transportation,Barrie,Conventional Fleet Replacement,Planning,December 2029,Purchase of 30 low-floor 40-foot conventional diesel buses to replace the retiring fleet.,Improved quality and safety of the transit system.,Simcoe,Central,133 Welham Rd,L4N 8Y3,,"$23,389,023",Yes,Yes,Yes,,,,
17,Transit,Transportation,Barrie,On-street Infrastructure Improvements,Planning,December 2028,"Install heated bus shelters, bus displays, bike racks, stop signs and concrete pads in the Cityof Barrie","Improved accessibility, capacity, quality and safety of existing and future transit system.",Simcoe,Central,,,,"$2,736,462",Yes,Yes,Yes,,,44.39074,-79.686679
18,Transit,Transportation,Barrie,Specialized Fleet Replacement,Planning,December 2028,Purchase 21 specialized city buses to replace the retiring fleet.,"Improved reliability, quality and safety of the transit system by replacing the aging fleet with new, up-to-date buses.",Simcoe,Central,,,,"$4,674,600",Yes,Yes,Yes,,,44.354995,-79.670543
19,Transit,Transportation,Barrie,Allandale Mobility Hub - New Transit Terminal & Downtown Connection Hub Planning and Design,Planning,April 2025,"The Allandale Mobility Hub will locate the primary bus terminaladjacent to the local GO train station for local and regional transitconnectivity. It will be located within the future geographic centre ofthe City of Barrie with a site that has future growth potential. The sitewill include bus platforms, lay by express bus stops, and a terminalbuilding. The Downtown Connection Hub will function as theprimary bus stop within the Downtown by providing lay by lanes andbus stops with a shelter to serve the Downtown with the relocation ofthe primary terminal to Allandale. This project will be for thePlanning and Design phases to complete the design and designapproval process of the Allandale Mobility Hub – New TransitTerminal and the related Downtown Connection Hub. ",Improved connections between GO Train andBarrie Transit service.,Simcoe,Central,,,,"$4,150,000",Yes,Yes,Yes,,,,
20,Transit,Transportation,Barrie,Barrie Double Track - Contract 1,Under construction,To Be Determined,GO Expansion - Early Works,"Contract for grading for the second track, installing noise walls and high security fencing, drainage, and utility re-locations, on the southern portion of the corridor between Mile 1.9 to Mile 12.6. Also, Sheppard Avenue Bridge expansion on the west side (new track bridge and new pedestrian bridge), including new west platform Downsview GO Station on the pedestrian bridge)",Simcoe,Central,,,,0,,,,,http://www.metrolinx.com/en/greaterregion/projects/barrie-go-expansion.aspx,43.709687,-79.469539
21,Transit,Transportation,Barrie,Barrie Double Track - Contract 2,Under construction,To Be Determined,GO Expansion - Early Works,"The Barrie Contract 2 project involves double tracking along the Barrie corridor from Rutherford (at Mile 17.50) to McNaughton Side Road (at Mile 18.61) as well as the infrastructure improvements at the Maple GO Station. The station improvements include a rehabilitated east platform, a new west side platform and commissioning of the north and south tunnel which includes elevators. The bus loop will be expanded on Eagle Rock Way with a north tunnel connection to the bus loop. Depending on commitments from the City of Vaughan, the scope may include a cycling bridge on the East side of Major MacKenzie, and a pedestrian access from the west side of the corridor on Lindenshire Ave.",Simcoe,Central,,,,0,,,,,http://www.metrolinx.com/en/greaterregion/projects/barrie-go-expansion.aspx,43.855457,-79.506181
22,Transit,Transportation,Barrie,Barrie Double Track - Contract 3,Under construction,To Be Determined,GO Expansion - Early Works,"The Barrie Contract 3 project includes grading from Mi 21.1 to 29.17, 7km of noise walls, fencing, culvert extensions, utility relocations,new double-wide bridge at Yonge St., and King City GO Station Infrastructure Improvements . The Project will be delivered by two construction contracts (DBB):Phase 1 includes enabling works between Mi 24.6 and 26.5.Phase 2 includes enabling works between Mi 21.1 to 24.6 and 26.5 to 29.17, new Yonge St. bridge and King City GO StationInfrastructure Improvements.",Simcoe,Central,,,,0,,,,,http://www.metrolinx.com/en/greaterregion/projects/barrie-go-expansion.aspx,43.94978,-79.494203
23,Transit,Transportation,Belleville,North East Industrial Park Active Transportation and Transit Shelters,Under construction,2023,"The expansion of public transit and active transportation infrastructure in Belleville’s North East Industrial Park. The construction of 3 three kilometers of new sidewalk and a 1 one-kilometer kilometre accessible multi-use path will provide commuters with direct access to the city’s public transit system. The addition of 17 new bus stops and 8 eight transit shelters, all fully accessible, will help meet the growing needs of transit users in this busy commercial area.",The project will help meet the growing needs of transit users in this busy commercial area.,Hastings,East,,,,"$2,400,110",Yes,Yes,Yes,,,,
24,Transit,Transportation,Belleville,New Bus Purchase,Complete,December 2021,Purchase four new buses.,Increased service levels on the busiest bus routes and expanded service to underserved areas of the city.,Hastings,East,,,,"$3,330,600",Yes,Yes,Yes,,,,
25,Transit,Transportation,Bradford-West Gwillimbury,Bradford GO Station,Complete,To Be Determined,Existing station on the Barrie Line,,Simcoe,Central,,,Barrie GO Line,0,,,,,,44.116576,-79.553955
26,Transit,Transportation,Bradford-West Gwillimbury,Fleet Replacement and Expansion,Complete,March 2021,Replace two transit vans and purchase an extra transit van equipped with new “Smart Bus” technologies.,Improved service reliability.,Simcoe,Central,,,,"$576,450",Yes,Yes,Yes,,,,
27,Transit,Transportation,Brampton,Bramalea GO Station Parking Expansion,Complete,To Be Determined,Expanding and repaving existing south lot,"Repaved the south parking lot, built a new kiss and ride and more accessible parking spaces, upgraded utilities and the south platform, and added new shelters for bus and bikes",Peel,Central,1713 Steeles Ave E,L6T 4L7,,0,,,,,http://www.gotransit.com/public/en/improve/projects/bramalea/,43.701919,-79.691214
28,Transit,Transportation,Brampton,Ray Lawson Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Ray Lawson Blvd,L6W 4K7,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.658601,-79.723046
29,Transit,Transportation,Brampton,County Court Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Sir Lou Dr / Country Ct Blvd,L6W 4T1,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.661659,-79.727118
30,Transit,Transportation,Brampton,Brampton Gateway Terminal Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Steeles Ave W,L6W 4J4,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.665927,-79.732853
31,Transit,Transportation,Brampton,Brampton GO Station,Complete,To Be Determined,Existing station on the Kitchener line,,Peel,Central, 31 Church St W,ON L6X ,Kitchener GO Line,0,,,,,,43.68712,-79.764716
32,Transit,Transportation,Brampton,Mount Pleasant GO Station,Complete,To Be Determined,Existing station on the Kitchener line,,Peel,Central, 1600 Bovaird Dr W,L7A 2Y7,Kitchener GO Line,0,,,,,,43.675935,-79.821204
33,Transit,Transportation,Brampton,Bramalea GO Station Improvements and Multi-Level Parking Garage,Complete,Mid/Late 2022,GO Expansion - Early Works,"New station building, new passenger pick-up and drop-off area, improved bus platforms, secure bicycle storage, new accessible pedestrian tunnel and platform improvements. Also includes new parking garage which is now open.",Peel,Central,1713 Steeles Ave E,L6T 4L7,,0,,,,,https://www.gotransit.com/en/the-future-and-go/construction-notices/bramalea-go-station-improvement,43.70253,-79.689051
34,Transit,Transportation,Brampton,2020-2021 Replacement Buses,Complete,December 2023,"Purchase and commissioning of 32 replacement urban transit buses (40' diesel), including theinstallation of all additional equipment required for in-service use. ","The project will result in improved capacity, quality and safety and access to the public infrastructure system in Brampton, Ontario.",Peel,Central,,,,"$20,630,000",Yes,Yes,Yes,,,,
35,Transit,Transportation,Brampton,Bus Refurbishment,Planning,2023,"Refurbish approximately 300 buses, including around 112 conventional buses and 41 hybrid buses.",Extend the useful life of the buses from their designed lifespan of 12 years to 18 years.,Peel,Central,,,,"$55,608,045",Yes,Yes,Yes,,,,
36,Transit,Transportation,Brampton,Transit Hub,Planning,December 2027,"Build a new transit hub. This will increase the number of bus bays from seven to 16,  and include new bus canopies, an interior rider waiting area, concessions and new washroom facilities. ","Increased capacity of the terminal, doubling the number of passenger trips from 15,000 to approx. 30,000 daily trips, or an additional 2.1M trips annually.",Peel,Central,,,,"$30,000,000",Yes,Yes,Yes,,,,
37,Transit,Transportation,Brampton,Replacement of Computer Aided Dispatch (CAD) andAutomatic Vehicle Location (AVL) System.,Planning,December 2024,"This project consists of the design, build and installation of a new Computer Aided Dispatch/Automatic Vehicle Location (CAD/AVL) system, including all supporting devices, operating systems, networking gear, related application software and data radio network.","The project will result in improved quality and safety of the public transit system in Brampton, Ontario.",Peel,Central,,,,"$10,000,000",Yes,Yes,Yes,,,43.71501613,-79.80882947
38,Transit,Transportation,Brampton,On-board Cameras and VideoRecorders,Complete,March 2024,Replace the on-board cameras and digital video recorders with newer technologies on the entire bus fleet.,Increased safety for the public and transit operators.,Peel,Central,,,,"$5,000,000",Yes,Yes,Yes,,,,
39,Transit,Transportation,Brampton,Transit Maintenance & Storage Facility,Planning,December 2026,"This project involves construction of a new bus operation, maintenance and storage facility.",Improved capacity of public transit infrastructure.,Peel,Central,,,,"$174,780,000",Yes,Yes,Yes,,,43.81318,-79.677779
40,Transit,Transportation,Brantford,Electronic Fareboxes,Planning,December 2024,Replace the electronic fareboxes and smart card technology on both conventional and specialized transit buses.,Reduced maintenance costs and improved coin collection accuracy.,Brant,Southwest,,,,"$2,035,000",Yes,Yes,Yes,,,,
41,Transit,Transportation,Brantford,New Buses,Planning,December 2025,Purchase 13 conventional diesel buses and 8 specialized gasoline buses.,Reduced maintenance and fuel costs and improved fuel efficiency.,Brant,Southwest,,,,"$9,988,000",Yes,Yes,Yes,,,,
42,Transit,Transportation,Brantford,Bus Pad and Shelter Replacement,Complete,June 2023,Replacing or rehabilitate approximately 50 total bus pads and shelters in Brantford.,Improved quality of and access to the public transit infrastructure.,Brant,Southwest,,,,"$701,300",Yes,Yes,Yes,,,,
43,Transit,Transportation,Brantford,Transit Maintenance Facility Upgrades,Complete,December 2023,"The scope of the project includes the replacement of two transit hoists; improvements to the buswash system including the replacement of brushes, motors and pumps; and a fuel pumpreplacement project which includes the replacement of 3 existing pumps including valves,plumbing, electrical and safety equipment.","Overall, the project contributes to improving the quality of the existing transit system in Brantford,Ontario.",Brant,Southwest,,,,"$1,035,000",Yes,Yes,Yes,,,43.140167,-80.298882
44,Transit,Transportation,Brockville,Brockville Transit Bus Replacements,Planning,March 2027,Purchase 5 replacement commercial minibuses equipped with an accessible lift.,"Improved safety, accessibility and route planning.",Leeds and Grenville,East,,,,"$787,686",Yes,Yes,Yes,,,,
45,Transit,Transportation,Burlington,Vehicle hoist replacement and fuel pump expansion,Under construction,December 2024,The purchase of a new fuel pump with twinned dispensing nozzles and two vehicle hoists will improve the quality of the public transit system,The project will improve the quality of the public transit system,Halton,Central,,,,"$551,250",Yes,Yes,Yes,,,43.358009,-79.790036
46,Transit,Transportation,Burlington,Conventional Transit Vehicle Replacement,Complete,December 2022,Purchase five conventional buses to replace buses that have reached the end of their lifecycle.,Improved service quality and reliability.,Halton,Central,,,,"$2,803,668",Yes,Yes,Yes,,,,
47,Transit,Transportation,Burlington,Specialized Transit Expansion Vehicles,Planning,December 2024,Purchase three specialized vehicles.,Improved accessibility and availability of the transit system.,Halton,Central,,,,"$703,860",Yes,Yes,Yes,,,,
48,Transit,Transportation,Burlington,Transit Traffic Signal Priority,Planning,March 2025,Install  priority traffic signal devices on conventional buses.,Increased public transit efficiency and on-time performance.,Halton,Central,,,,"$835,000",Yes,Yes,Yes,,,,
49,Transit,Transportation,Burlington,Conventional Transit Vehicle Expansion,Planning,March 2025,Purchase 12 new 40-foot conventional buses.,Increased fleet size to increase service frequency and enable connections between bus routes and regional transit.,Halton,Central,,,,"$7,809,015",Yes,Yes,Yes,,,,
50,Transit,Transportation,Burlington,On Demand/Alternative Service Delivery,Under construction,March 2025,Install an intelligent transit technology system to allow on-demand service to underserved and low-ridership areas. ,"Improved capacity, quality, safety and access to the public transit system.",Halton,Central,,,,"$200,000",Yes,Yes,Yes,,,,
51,Transit,Transportation,Burlington,Lakeshore West Corridor Expansion - Drury Lane Pedestrian Bridge Reconstruction,Planning,To Be Determined,GO Expansion - Early Works,"To support future increases in GO rail service, Metrolinx is working with the City of Burlington to replace and enhance the Drury Lane Pedestrian Bridge, which is nearing the end of its service life.",Halton,Central,,,,0,,,,,https://www.metrolinx.com/en/greaterregion/projects/drury-lane-pedestrian-bridge.aspx,43.343664,-79.805136
52,Transit,Transportation,Chatham-Kent,Transit Information and Technology Upgrades,Planning,March 2025,"Install new real-time vehicle location technology, fare-systems technology, and customer communication platforms.",Improved quality and efficiency of the public transit system.,Chatham-Kent,Southwest,,,,"$937,468",Yes,Yes,Yes,,,,
53,Transit,Transportation,Chatham-Kent,Purchase of Public Transit Vehicles,Complete,February 2023,"Purchase 15 accessible vehicles. 2, 9m buses, 11, 8m buses and 2, 6m buses.",Expanded capacity and service levels for the public transit system.,Chatham-Kent,Southwest,,,,"$1,819,041",Yes,Yes,Yes,,,,
54,Transit,Transportation,Chatham-Kent,Transit Terminal and Bus Shelter Purchases and Rehabilitation,Planning,December 2026,"Upgrades to the main bus terminal (including a fully accessible, enclosed area) and the installation of six new solar powered bus shelters on inter-urban routes will provide transit users with a more comfortable and accessible public transit experience.",This project will provide transit users with a more comfortable and accessible public transit experience,Chatham-Kent,Southwest,,,,"$2,181,280",Yes,Yes,Yes,,,,
55,Transit,Transportation,Cobourg,Replacement of Rolling Stock,Planning,March 2028,"Purchase 2 new conventional 30-foot diesel transit buses, and one new 8-meter low-floor specialized diesel vehicle to replace older buses that are nearing the end of their life cycle.",Improved accessibility to the town's transit system.,Northumberland,East,,,,"$1,240,454",Yes,Yes,Yes,,,,
56,Transit,Transportation,Collingwood,Transit Fleet Renewal and Replacement,Planning,October 2027,"Purchase 8 new diesel buses, 7 conventional and one para transit buses, over an eight-year period as well as renewing major power train components to extend the useful life of six buses. ",Improved accessibility and reliability of the transit fleet with less downtime and delays attributed to an aging fleet.,Simcoe,Central,,,,"$4,726,500",Yes,Yes,Yes,,,,
57,Transit,Transportation,Cornwall,Replacement Conventional and Para Transit Buses,Planning,March 2031,"Replace 6 conventional transit buses, 6 electric hybrid diesel buses and 8 specialized paratransit buses, all diesel, from 2020 to 2027 inclusive.","Reduce average age of present transit fleet, from 7 years to 5 years. ","Stormont, Dundas and Glengarry",East,,,,"$11,958,214",Yes,Yes,Yes,,,45.016689,-74.750277
58,Transit,Transportation,Cornwall,Replacement Surveillance Cameras on Buses,Complete,April 2021,"Install 90 new cameras and 26 NVR units that operate the cameras, as well as the replacement of existing hardware and software to access surveillance data.","Enhanced security to the public, bus operators and the City’s assets.","Stormont, Dundas and Glengarry",East,,,,"$129,780",Yes,Yes,Yes,,,45.016689,-74.750277
59,Transit,Transportation,Cornwall,Passenger Counter,Complete,April 2021,Install passenger counters on 15 buses. ,Increased ridership data accuracy that can be used to more accurately adjust and create routes for user convenience.,"Stormont, Dundas and Glengarry",East,,,,"$105,000",Yes,Yes,Yes,,,,
60,Transit,Transportation,Cornwall,Electronic Fareboxes,Complete,July 2023,Install new electronic fareboxes on 26 buses. ,Provide modern payment options for passengers and increased accuracy in passenger and revenue data collection. ,"Stormont, Dundas and Glengarry",East,,,,"$1,300,005",Yes,Yes,Yes,,,,
61,Transit,Transportation,Cornwall,Bus Shelters and Bus Stop Accessibility,Under construction,March 2026,Install new bus shelters at high traffic locations and install concrete pads making 60 bus stops fully accessible.,Improved boarding accessibility to conventional buses.,"Stormont, Dundas and Glengarry",East,,,,"$264,705",Yes,Yes,Yes,,,,
62,Transit,Transportation,Durham,Durham Region Bus Rapid Transit,Complete,December 2018,Building bus rapid-transit system along Highway 2 in Durham Region,"Connecting University of Toronto's Scarborough campus and downtown Oshawa, via wider intersections, expanded maintenance and storage facilities, intelligent transportation systems and modified signals",Durham,Central,,,Durham PULSE Bus Rapid Transit (BRT),0,Yes,Yes,,,,,
63,Transit,Transportation,Durham,"Detailed Design and Construction of Bus Rapid Transit Lanes in the Town of Ajax, Town of Whitby and the City of Oshawa",Under construction,December 2026,"This project involves the construction of Bus Rapid Transit lanes with active transportation corridors on Kingston Rd. in the Town of Ajax, Dundas St. in the Town of Whitby, and Downtown Oshawa. ",Improved capacity of public transit infrastructure.,Durham,Central,,,,"$71,695,000",Yes,Yes,Yes,,,43.8532694|43.8563365|43.8578171|43.8634708|43.8712039|43.8741898|43.8785844|43.8844415|43.8909052|43.8969726|43.8982056|43.8991091|43.8971471|43.8959440|43.8945895|43.8937685|43.8932334|43.8925363|43.8924337,-79.0600865|-79.0471504|-79.0405074|-79.0157336|-78.9806944|-78.9669455|-78.9470646|-78.9213585|-78.8926098|-78.8655391|-78.8604038|-78.8609633|-78.8694517|-78.8749622|-78.8803056|-78.8840223|-78.8854283|-78.8863955|-78.8864875
64,Transit,Transportation,Durham,Simcoe Street Rapid Transit Corridor,Planning,December 2025,"Construct a 10-kilometre north-south bus rapid transit corridor along Simcoe Street from Royal Street north to Highway 407, as well as purchase 8 buses and install new bus shelters.",Improved service reliability along the transit corridor. ,Durham,Central,,,,"$12,635,001",Yes,Yes,Yes,,,43.96662310|43.9482176|43.9476365|43.9464646|43.9428602|43.9372812|43.9351376|43.9151374|43.9141896|43.9034263|43.8885455|43.8884236,-78.9043135|-78.8962558|-78.8956239|-78.8940541|-78.8886584|-78.8808214|-78.8798215|-78.8710989|-78.8709416|-78.8661301|-78.8593747|-78.8593632
65,Transit,Transportation,Durham,Hybrid Electric Buses,Complete,October 2022,Purchase 11 hybrid electric buses.,"Reduced emissions and fuel costs while providing transit users with a modern, safe, and efficient transit system.",Durham,Central,,,,"$9,900,000",Yes,Yes,Yes,,,,
66,Transit,Transportation,Durham,Bus Stop Improvements ,Under construction,December 2024,Resurface unpaved bus stops and install accessible bus shelters with solar lighting.,"Improved accessibility, safety and comfort for transit users. ",Durham,Central,,,,"$9,744,000",Yes,Yes,Yes,,,,
67,Transit,Transportation,Durham,Bus Replacement,Complete,December 2023,Purchase 13 40-foot buses equipped with fare payment collection technology.,"Provide transit users with a modern, safe and efficient fleet.",Durham,Central,,,,"$9,405,001",Yes,Yes,Yes,,,,
68,Transit,Transportation,Durham,Durham Region Transit Operations Building,Planning,December 2025,"Construct a 7,500 square foot transit operations building that meets accessibility and energy efficiency standards. ",Higher quality public transit system.,Durham,Central,,,,"$5,000,000",Yes,Yes,Yes,,,,
69,Transit,Transportation,Durham,Articulated Buses,Complete,September 2022,Purchase two articulated buses for the region's PULSE rapid transit fleet.,Increased capacity along the high-volume bus rapid transit corridor.,Durham,Central,,,,"$2,250,000",Yes,Yes,Yes,,,,
70,Transit,Transportation,Durham,Transit Operator Protective Shields,Planning,September 2024,Install protective shields on the Durham public transit bus fleet.,Improved safety for operators and transit users.,Durham,Central,,,,"$1,225,001",Yes,Yes,Yes,,,,
71,Transit,Transportation,Durham,"Construction of Median BRT Lanes on Highway 2, City of Pickering",Under construction,December 2026,"This project involves  construction of dedicated median transit lanes, median transit shelters/stops, and dedicated bike lanes along Highway 2 through the City of Pickering. ",Improved capacity of public transit infrastructure.,Durham,Central,,,,"$114,570,000",Yes,Yes,Yes,,,43.808135|43.817008|43.824112|43.828748|43.850289|43.852133,-79.131908|-79.118216|-79.104682|-79.098738|-79.070500|-79.065454
72,Transit,Transportation,Durham,Rouge River Bridge Works,Under construction,To Be Determined,GO Expansion - Early Works,Rehabilitation of the Rouge River open deck bridge. ,Durham,Central,,,,0,,,,,https://www.blog.metrolinx.com/2021/09/17/historic-rouge-river-bridge-to-get-new-lease-on-life-in-the-name-of-go-transit-expansion/,43.79450496,-79.11819879
73,Transit,Transportation,East Gwillimbury,East Gwillimbury GO Station,Complete,To Be Determined,Existing station on the Barrie Line,,York,Central,,,Barrie GO Line,0,,,,,,44.078233,-79.453898
74,Transit,Transportation,Elliot Lake,Transit Expansion and Improvements,Planning,June 2027,"Developing new transit routes and schedules to meet community transit needs, as well as planning the construction phase and asset purchases. This will include up to four new buses, the installation of up to 50 new bus shelters and 50 bus stops, as well as the rehabilitation of up to 75 existing bus stops and 25 existing bus shelters for improved safety and accessibility. ",Improved safety and accessibility. ,Algoma,Northeast,,,,"$937,500",Yes,Yes,Yes,,,46.3862,-82.6509
75,Transit,Transportation,Greater Sudbury,Bus Fleet Replacement ,Planning,October 2027,Purchase 53 low-floor 40-foot buses over eight years to replace the older vehicles in the fleet.,"Reduced maintenance costs while providing residents with a modern, safe, and reliable transit experience.",Sudbury,Northeast,,,,"$34,419,000",Yes,Yes,Yes,,,46.470435,-81.032324
76,Transit,Transportation,Greater Sudbury,Shelter Upgrade and Implementation of Various Technological Improvements,Planning,December 2024,Improvements to 18 outdated transit shelter infrastructure. Review transit technological requirements to improve the rider experience and ease of access to services.,Improved capacity of public transit infrastructureImproved quality and/or safety of existing and future public transit ,Sudbury,Northeast,,,,"$4,987,500",Yes,Yes,Yes,,,46.470435,-81.032324
77,Transit,Transportation,Greater Sudbury,Traffic Priority Signalling System,Under construction,March 2025,"Install new transportation management and communication technology in the bus fleet, and the replace traffic signal controllers at all intersections.",Safer and higher quality transit system for all passengers.,Sudbury,Northeast,,,,"$6,611,000",Yes,Yes,Yes,,,46.470435,-81.032324
78,Transit,Transportation,Greater Sudbury,Major Mobility Hubs,Planning,December 2025,"Construct three major mobility hubs located in the centre, downtown and the south end of the city. ",Restructured transit system which will include rapid bus lines to support increased ridership and service needs.,Sudbury,Northeast,,,,"$27,156,250",Yes,Yes,Yes,,,46.494726,-80.987692
79,Transit,Transportation,Greater Sudbury,Transit Priority Improvements,Planning,October 2027,"Introduce intersection improvements along three corridors with dedicated turn lanes for buses, passenger waiting areas and shelters, fare vending machines, passenger information signage,  and lighting.","Reduced bus travel times, increased transit ridership, and improved operational efficiency",Sudbury,Northeast,,,,"$26,187,500",Yes,Yes,Yes,,,46.494726,-80.987692
80,Transit,Transportation,Greenstone,Purchase of an 14-seat Accessible Bus,Complete,June 2021,"This project involves the acquisition of a 14-seat accessible bus. With this vehicle, the Municipality of Greenstone will be able to increase services to seniors and expand the specialized transit system currently in place to include all wards within the Municipality to increase access to social & physical activities.","With this vehicle, the Municipality of Greenstone will be able to increase services to seniors and expand the specialized transit system currently in place to include all wards within the Municipality to increase access to social & physical activities.",Thunder Bay,Northwest,,,,"$45,627",Yes,Yes,Yes,,,49.7187,-86.5347
81,Transit,Transportation,Guelph,Guelph Central GO Station,Complete,To Be Determined,Existing station on the Kitchener line,,Wellington,Southwest,,,Kitchener GO Line,0,,,,,,43.544342,-80.246931
